DATE	NEGCODE	NAME	SECTOR	WEIGHT	FORWARDReturn
2017-08-30	RENT3	Localiza Rent a Car S.A.	Services	0.00651	-0.021592442645074244
2017-08-30	LAME4	Lojas Americanas S.A.	Services	0.010409999999999999	0.04403567447045703
2017-08-30	LREN3	Lojas Renner S.A.	Services	0.017390000000000003	0.13300970873786405
2017-08-30	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.00266	-0.11740331491712715
2017-08-30	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.00413	0.002238805970149206
2017-08-30	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00498	-0.019047619047619126
2017-08-30	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.00482	0.030636030636030574
2017-08-30	PCAR4	Companhia Brasileira de Distribuição	Services	0.0103	0.0342541436464087
2017-08-30	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.03599	0.14625360230547546
2017-08-30	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.05331	0.14052044609665432
2017-08-30	QUAL3	Qualicorp S.A.	Healthcare	0.00471	0.0564841498559076
2017-08-30	RADL3	Raia Drogasil S.A.	Healthcare	0.012430000000000002	0.06023400260002891
2017-08-30	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009210000000000001	0.01968750000000008
2017-08-30	SANB11	BCO Santander(Brasil) S.A.	Financial	0.0097	-0.033970276008492596
2017-08-30	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.00431	0.06198830409356717
2017-08-30	SMLE3	Smiles S.A.	Consumer Goods	0.00366	0.1265007320644217
2017-08-30	SUZB5	Suzano Papel e Celulose S.A.	Consumer Goods	0.004699999999999999	0.07935595169637717
2017-08-30	VIVT4	Telefônica Brasil S.A.	Technology	0.01816	0.02092645266151973
2017-08-30	TIMP3	TIM Participações S.A.	Technology	0.00767	0.027240773286467374
2017-08-30	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.02553	0.027913943355119788
